avg_waiting_time_car,avg_waiting_time_bicycle,avg_waiting_time_bus,avg_waiting_time_pedestrian,co2_total_kg_per_s,co2_total_kg_per_hour,reward_waiting_avg,reward_flow_avg,reward_co2_avg,reward_equity_avg,reward_safety_avg,reward_blocked_avg,reward_diversity_avg,reward_consecutive_continue_avg,reward_bus_assistance_avg,reward_next_bonus_avg,reward_skip2p1_effectiveness_avg,reward_skip2p1_incentive_avg,reward_stability_avg,safety_violations_total
14.95,21.54,0.15,0.26,0.19,694.44,-0.56,0.4,-0.01,-0.14,0.05,-0.0,-0.03,-0.0,0.01,0.08,0.0,-0.02,0.11,0
53.76,27.39,1.31,8.05,1.0,3613.37,-3.41,0.27,-0.05,-0.2,0.05,-0.01,-0.09,-0.0,0.0,0.08,0.03,-0.0,0.11,0
22.23,12.46,2.84,1.58,0.18,656.59,-0.54,0.43,-0.01,-0.16,0.05,-0.0,-0.02,-0.01,-0.0,0.04,0.01,-0.03,0.12,0
40.63,4.77,7.24,0.15,0.81,2906.79,-1.3,0.37,-0.04,-0.39,0.05,-0.01,0.0,-0.0,-0.02,0.05,0.03,-0.01,0.09,0
13.71,5.26,2.97,0.24,0.17,618.25,-0.13,0.47,-0.01,-0.22,0.05,-0.0,-0.01,-0.01,0.0,0.03,0.0,-0.04,0.12,0
12.87,6.86,2.65,0.22,0.14,494.17,-0.09,0.48,-0.01,-0.16,0.05,-0.0,-0.01,-0.02,0.0,0.04,0.0,-0.04,0.12,0
12.0,5.47,1.75,0.19,0.05,165.3,-0.09,0.48,-0.0,-0.18,0.05,-0.0,-0.01,-0.02,0.0,0.05,0.0,-0.04,0.11,0
15.19,5.76,3.51,0.21,0.2,712.81,-0.19,0.46,-0.01,-0.23,0.05,-0.0,0.0,-0.02,-0.0,0.04,0.0,-0.05,0.11,0
14.93,8.38,2.96,0.19,0.18,665.79,-0.25,0.45,-0.01,-0.15,0.05,-0.0,0.0,-0.03,-0.0,0.05,0.0,-0.04,0.11,0
28.75,5.82,20.68,0.19,0.64,2310.84,-0.52,0.42,-0.03,-0.33,0.05,-0.0,0.0,-0.01,-0.03,0.06,0.0,-0.04,0.1,0
14.0,5.84,2.17,0.22,0.18,664.82,-0.13,0.47,-0.01,-0.21,0.05,-0.0,0.0,-0.02,0.0,0.04,0.0,-0.04,0.12,0
13.68,7.09,4.49,0.2,0.13,480.54,-0.11,0.48,-0.01,-0.16,0.05,-0.0,0.0,-0.02,-0.01,0.03,0.0,-0.05,0.12,0
14.32,5.33,2.58,0.2,0.11,396.06,-0.15,0.47,-0.01,-0.23,0.05,-0.0,0.0,-0.02,0.0,0.03,0.0,-0.05,0.12,0
15.04,5.52,2.96,0.17,0.19,667.25,-0.16,0.47,-0.01,-0.23,0.05,-0.0,0.0,-0.02,0.0,0.02,0.0,-0.05,0.12,0
24.66,5.57,19.16,0.19,0.37,1321.18,-0.36,0.46,-0.02,-0.3,0.05,-0.0,0.0,-0.01,-0.05,0.03,0.0,-0.05,0.1,0
14.18,9.08,3.86,0.17,0.16,579.92,-0.32,0.44,-0.01,-0.14,0.05,-0.0,0.0,-0.01,-0.0,0.02,0.0,-0.04,0.12,0
14.99,10.55,3.6,0.17,0.18,659.08,-0.27,0.45,-0.01,-0.11,0.05,-0.0,0.0,-0.01,0.0,0.04,0.0,-0.03,0.12,0
11.66,8.11,2.6,0.21,0.07,263.42,-0.14,0.47,-0.0,-0.11,0.05,-0.0,-0.01,-0.01,0.0,0.06,0.0,-0.03,0.12,0
38.44,6.42,14.04,0.79,0.52,1858.31,-1.24,0.36,-0.03,-0.35,0.05,-0.01,-0.03,-0.0,-0.05,0.2,0.01,-0.0,0.06,0
43.26,7.88,3.46,1.02,0.53,1892.73,-1.64,0.34,-0.03,-0.35,0.05,-0.0,0.0,-0.0,-0.0,0.1,0.0,-0.01,0.09,0
14.19,7.71,1.79,0.4,0.13,480.33,-0.15,0.47,-0.01,-0.15,0.05,-0.0,0.0,-0.01,0.01,0.06,0.01,-0.03,0.13,0
41.06,7.03,12.36,0.23,1.1,3953.18,-1.62,0.31,-0.05,-0.35,0.05,-0.01,-0.02,-0.0,-0.01,0.19,0.0,-0.0,0.05,0
16.2,6.62,1.51,0.52,0.17,615.19,-0.15,0.47,-0.01,-0.22,0.05,-0.0,-0.01,-0.01,0.0,0.06,0.0,-0.04,0.12,0
13.96,11.42,2.68,0.31,0.11,412.34,-0.25,0.45,-0.01,-0.09,0.05,-0.0,-0.01,-0.01,0.0,0.06,0.0,-0.04,0.12,0
15.55,13.97,2.11,0.34,0.18,659.56,-0.4,0.42,-0.01,-0.1,0.05,-0.0,-0.01,-0.01,0.0,0.08,0.0,-0.03,0.11,0
20.91,7.92,1.25,1.18,0.2,712.69,-0.32,0.45,-0.01,-0.24,0.05,-0.0,-0.02,-0.0,0.01,0.09,0.0,-0.03,0.11,0
